split,featureset,cycle,confA,confB,n_estimators,max_features,max_depth,max_samples,criterion
class,combi,10,gpw_tree,tree_gpw,200,6,2,0.857,entropy
class,combi,10,gpw_tree,gpw_gpw,200,5,7,0.1,entropy
class,combi,10,gpw_tree,mdd_tree,200,5,28,0.1,gini
class,combi,10,gpw_tree,swc_swc,200,6,2,0.857,entropy
class,combi,10,tree_gpw,gpw_gpw,200,8,21,0.337,gini
class,combi,10,tree_gpw,mdd_tree,200,5,28,0.1,gini
class,combi,10,tree_gpw,swc_swc,200,5,7,0.1,entropy
class,combi,10,gpw_gpw,mdd_tree,200,10,3,0.715,entropy
class,combi,10,gpw_gpw,swc_swc,200,5,28,0.1,gini
class,combi,10,mdd_tree,swc_swc,200,6,2,0.857,entropy
instance,combi,10,ggt_mdd,gpw_tree,200,6,2,0.857,entropy
instance,combi,10,ggt_mdd,tree_gpw,200,11,17,0.289,entropy
instance,combi,10,ggt_mdd,gpw_gpw,200,11,17,0.289,entropy
instance,combi,10,ggt_mdd,swc_gpw,200,12,17,0.147,gini
instance,combi,10,gpw_tree,tree_gpw,200,11,17,0.289,entropy
instance,combi,10,gpw_tree,gpw_gpw,200,10,21,0.431,entropy
instance,combi,10,gpw_tree,swc_gpw,200,6,2,0.857,entropy
instance,combi,10,tree_gpw,gpw_gpw,200,13,34,0.242,gini
instance,combi,10,tree_gpw,swc_gpw,200,5,7,0.1,entropy
instance,combi,10,gpw_gpw,swc_gpw,200,8,8,0.1,entropy
class,f2f,10,gpw_tree,tree_gpw,200,5,2,0.857,entropy
class,f2f,10,gpw_tree,gpw_gpw,200,8,8,0.573,gini
class,f2f,10,gpw_tree,mdd_tree,200,4,28,0.1,gini
class,f2f,10,gpw_tree,swc_swc,200,5,2,0.857,entropy
class,f2f,10,tree_gpw,gpw_gpw,200,9,4,0.242,gini
class,f2f,10,tree_gpw,mdd_tree,200,9,4,0.242,gini
class,f2f,10,tree_gpw,swc_swc,200,8,20,0.242,entropy
class,f2f,10,gpw_gpw,mdd_tree,200,9,17,0.147,gini
class,f2f,10,gpw_gpw,swc_swc,200,5,2,0.857,entropy
class,f2f,10,mdd_tree,swc_swc,200,4,28,0.1,gini
instance,f2f,10,ggt_mdd,gpw_tree,200,5,2,0.857,entropy
